ALERT_ID,BATCH_ID,PREDICTED_FAILURE_PROBABILITY,RISK_LEVEL,DETECTION_TIMESTAMP,RECOMMENDED_ACTION
67800e24-1dae-4371-9c7e-871e593b2f1e,BCH-2026000,0.94,CRITICAL,2026-03-09 03:10:49.905270,Design Audit Required
b8ee6a4e-95b1-48f9-870a-6f9d30f638bb,BCH-2026015,0.79,HIGH,2026-03-09 03:10:49.905270,Design Audit Required
2ab07d62-4a93-4674-9fee-04c241aa1398,BCH-2026026,0.88,HIGH,2026-03-09 03:10:49.905270,Design Audit Required
260de634-9480-48ae-9ec9-637b6d709d73,BCH-2026027,0.87,HIGH,2026-03-09 03:10:49.905270,Immediate Recall
b23cd143-cd7e-48f0-a4a5-688f8f3dad56,BCH-2026030,0.78,HIGH,2026-03-09 03:10:49.905270,Design Audit Required
4a6991db-cb9f-493e-9863-f45efcbc7480,BCH-2026042,0.95,CRITICAL,2026-03-09 03:10:49.905270,Proactive Service Alert
b1a40369-7446-45f2-b97f-64629ef0a4c6,BCH-2026043,0.82,HIGH,2026-03-09 03:10:49.905270,Design Audit Required
5fb4fc8a-baae-464a-89d4-02ed92f3b3bf,BCH-2026061,0.9,HIGH,2026-03-09 03:10:49.905270,Proactive Service Alert
7fbea9f2-f76d-4d74-8457-81f03c18c58d,BCH-2026062,0.78,HIGH,2026-03-09 03:10:49.905270,Design Audit Required
dd770442-c6f3-4344-b52b-cd336c260f9e,BCH-2026072,0.91,CRITICAL,2026-03-09 03:10:49.905270,Design Audit Required
24691fa2-50fa-4390-91c2-27a67830d6c5,BCH-2026084,0.87,HIGH,2026-03-09 03:10:49.905270,Immediate Recall
84fe8f87-fd0f-4bfd-859a-287e282af294,BCH-2026086,0.75,HIGH,2026-03-09 03:10:49.905270,Design Audit Required
9e7d8709-4b07-4932-93db-13dbad2f203f,BCH-2026087,0.95,CRITICAL,2026-03-09 03:10:49.905270,Proactive Service Alert
525a61e4-bae8-4266-8d49-adb57fea485b,BCH-2026089,0.85,HIGH,2026-03-09 03:10:49.905270,Proactive Service Alert
fa57bb5e-f42c-4b12-94e4-78d3126650cf,BCH-2026093,0.8,HIGH,2026-03-09 03:10:49.905270,Immediate Recall
